,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_randomoversampler,param_standardscaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.0527938604354858,0.0156132599931122,0.0564725637435913,0.0180272137320696,3,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 3, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8316326530612245,0.7755102040816326,0.7602040816326531,0.7959183673469388,0.8520408163265306,0.8112244897959183,0.8061224489795918,0.8102564102564103,0.7589743589743589,0.7794871794871795,0.7981371009942438,0.0287173098592042,3,0.8881317433276548,0.8801817149346962,0.8886996024985804,0.8841567291311755,0.881885292447473,0.8864281658148779,0.889267461669506,0.887627695800227,0.8927355278093076,0.8842224744608399,0.8863336407894338,0.0035628062759366
1,0.0375298023223876,0.0104976417722943,0.0497119426727294,0.0077881604255786,3,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 3, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8367346938775511,0.7806122448979592,0.7397959183673469,0.7806122448979592,0.8418367346938775,0.8061224489795918,0.8010204081632653,0.8,0.7589743589743589,0.7743589743589744,0.7920068027210884,0.0303582454196017,7,0.8886996024985804,0.881885292447473,0.8869960249858035,0.8886996024985804,0.8824531516183987,0.881885292447473,0.8858603066439523,0.8847900113507378,0.8927355278093076,0.8853575482406356,0.8859362360540942,0.0033050348030073
2,0.097490906715393,0.022012610089706,0.0592912912368774,0.0144112896497224,3,"RandomOverSampler(random_state=42, sampling_strategy='minority')",StandardScaler(),"{'kneighborsclassifier__n_neighbors': 3, 'randomoversampler': RandomOverSampler(random_state=42, sampling_strategy='minority'), 'standardscaler': StandardScaler()}",0.8316326530612245,0.7755102040816326,0.7551020408163265,0.7908163265306123,0.8367346938775511,0.8112244897959183,0.8061224489795918,0.8205128205128205,0.7692307692307693,0.7794871794871795,0.7976373626373625,0.0263551310903005,4,0.8881317433276548,0.8830210107893243,0.8886996024985804,0.8852924474730267,0.8852924474730267,0.8852924474730267,0.8881317433276548,0.8864926220204313,0.8938706015891033,0.8898978433598184,0.8874122509331649,0.0029015596329868
3,0.0575741052627563,0.0157647032122164,0.0576335668563842,0.014044742162668,3,"RandomOverSampler(random_state=42, sampling_strategy='minority')",MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 3, 'randomoversampler': RandomOverSampler(random_state=42, sampling_strategy='minority'), 'standardscaler': MinMaxScaler()}",0.8367346938775511,0.7704081632653061,0.7397959183673469,0.7806122448979592,0.8418367346938775,0.8163265306122449,0.7959183673469388,0.8051282051282052,0.7589743589743589,0.7692307692307693,0.7914965986394558,0.0319251118245149,8,0.8904031800113572,0.8830210107893243,0.8881317433276548,0.8909710391822828,0.8835888699602499,0.8847245883021011,0.8886996024985804,0.8887627695800226,0.8955732122587968,0.887627695800227,0.8881503711710597,0.0035767824703733
4,0.0577187061309814,0.0213251286638112,0.0681075811386108,0.0325334642102423,6,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 6, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.826530612244898,0.8061224489795918,0.7755102040816326,0.7908163265306123,0.8061224489795918,0.7806122448979592,0.7908163265306123,0.7846153846153846,0.7538461538461538,0.7589743589743589,0.7873966509680795,0.0209396276867457,14,0.8449744463373083,0.8489494605337876,0.8506530380465644,0.8432708688245315,0.8466780238500852,0.8512208972174901,0.8534923339011925,0.8501702610669694,0.8507377979568672,0.8535754824063564,0.8493722610141152,0.0032589391868755
5,0.0334935188293457,0.0065106026468971,0.0466981887817382,0.0032263437915906,6,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 6, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8367346938775511,0.7908163265306123,0.7755102040816326,0.75,0.7959183673469388,0.7806122448979592,0.7806122448979592,0.8,0.7589743589743589,0.7435897435897436,0.7812768184196756,0.0258100803614374,18,0.8438387279954571,0.8438387279954571,0.8506530380465644,0.8387279954571266,0.8444065871663827,0.8444065871663827,0.8409994321408291,0.8479001135073779,0.8416572077185017,0.8496027241770715,0.8446031141371151,0.003604103367252
6,0.0743996143341064,0.0115502737872647,0.0510403156280517,0.0062046295070476,6,"RandomOverSampler(random_state=42, sampling_strategy='minority')",StandardScaler(),"{'kneighborsclassifier__n_neighbors': 6, 'randomoversampler': RandomOverSampler(random_state=42, sampling_strategy='minority'), 'standardscaler': StandardScaler()}",0.826530612244898,0.7908163265306123,0.7755102040816326,0.7908163265306123,0.7908163265306123,0.7806122448979592,0.7959183673469388,0.7846153846153846,0.7589743589743589,0.7692307692307693,0.7863840920983778,0.017209862093502,15,0.8472458830210108,0.848381601362862,0.8517887563884157,0.8449744463373083,0.8466780238500852,0.8489494605337876,0.8517887563884157,0.8490351872871736,0.8490351872871736,0.8507377979568672,0.8488615100413099,0.0020843104555355
7,0.0575920581817627,0.00847286449724,0.0518980741500854,0.0061586229657986,6,"RandomOverSampler(random_state=42, sampling_strategy='minority')",MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 6, 'randomoversampler': RandomOverSampler(random_state=42, sampling_strategy='minority'), 'standardscaler': MinMaxScaler()}",0.8316326530612245,0.7908163265306123,0.7653061224489796,0.7653061224489796,0.8010204081632653,0.7857142857142857,0.7704081632653061,0.8051282051282052,0.7589743589743589,0.7538461538461538,0.7828152799581372,0.0233656323239123,17,0.8432708688245315,0.8421351504826803,0.8478137421919364,0.8392958546280522,0.8415672913117547,0.8398637137989778,0.838160136286201,0.8427922814982974,0.8365493757094211,0.8433598183881952,0.8414808233120048,0.003028721832986
8,0.0492019414901733,0.0140411921164475,0.0574009180068969,0.0148065596989183,16,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 16, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8214285714285714,0.7806122448979592,0.8214285714285714,0.7602040816326531,0.8061224489795918,0.7602040816326531,0.7857142857142857,0.7589743589743589,0.7282051282051282,0.7384615384615385,0.7761355311355311,0.0310366057916983,19,0.8080636002271436,0.8120386144236229,0.7950028392958546,0.8137421919363997,0.8057921635434412,0.8160136286201022,0.8040885860306644,0.8036322360953462,0.8087400681044268,0.8064699205448355,0.8073583848821837,0.0056608732245632
9,0.0341965436935424,0.0061133438502911,0.0494845628738403,0.0075199449823381,16,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 16, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.7959183673469388,0.7653061224489796,0.7653061224489796,0.7448979591836735,0.8010204081632653,0.7295918367346939,0.7755102040816326,0.7538461538461538,0.7128205128205128,0.7282051282051282,0.7572422815279958,0.0276062400989842,25,0.7938671209540034,0.7967064168086314,0.7876206700738216,0.7984099943214082,0.7967064168086314,0.8006814310051107,0.7967064168086314,0.786038592508513,0.8002270147559591,0.7990919409761634,0.7956056015020874,0.0047862843234711
