,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__n_estimators,param_randomoversampler,param_standardscaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.1359628200531006,0.03585290316139257,0.04400472640991211,0.01490720441338449,10,,StandardScaler(),"{'randomforestclassifier__n_estimators': 10, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8367346938775511,0.8316326530612245,0.8316326530612245,0.8673469387755102,0.8469387755102041,0.8520408163265306,0.7959183673469388,0.7948717948717948,0.882051282051282,0.8102564102564103,0.8349424385138672,0.027328771549461988,10,0.9960249858035207,0.9965928449744463,0.9960249858035207,0.9960249858035207,0.9988642816581488,0.9965928449744463,0.9977285633162976,0.9988649262202043,0.9977298524404086,0.996594778660613,0.9971043049655128,0.0010609383843373941
1,0.11637179851531983,0.02402604677916532,0.05174131393432617,0.027634224063891818,10,,MinMaxScaler(),"{'randomforestclassifier__n_estimators': 10, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8571428571428571,0.8316326530612245,0.8418367346938775,0.8724489795918368,0.8571428571428571,0.8469387755102041,0.7806122448979592,0.8307692307692308,0.8871794871794871,0.8153846153846154,0.842108843537415,0.02856866393373028,9,0.9965928449744463,0.9960249858035207,0.997160704145372,0.9960249858035207,0.9977285633162976,0.9965928449744463,0.997160704145372,0.9982973893303064,0.9988649262202043,0.9982973893303064,0.9972745338043791,0.0009437166844448194
2,0.29878458976745603,0.035098440372271944,0.04259467124938965,0.02164329653315384,26,,StandardScaler(),"{'randomforestclassifier__n_estimators': 26, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8826530612244898,0.9081632653061225,0.8520408163265306,0.9030612244897959,0.8928571428571429,0.8979591836734694,0.8418367346938775,0.8102564102564103,0.882051282051282,0.8564102564102564,0.8727289377289378,0.029923546076995346,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.30607783794403076,0.0745137687224616,0.06746819019317626,0.052807473941804406,26,,MinMaxScaler(),"{'randomforestclassifier__n_estimators': 26, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8826530612244898,0.8928571428571429,0.8622448979591837,0.9030612244897959,0.8775510204081632,0.8979591836734694,0.8469387755102041,0.8307692307692308,0.8923076923076924,0.8512820512820513,0.8737624280481425,0.023349043648073796,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.7361419439315796,0.099536428458679,0.08550670146942138,0.05888964296746141,70,,StandardScaler(),"{'randomforestclassifier__n_estimators': 70, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.9030612244897959,0.8928571428571429,0.8877551020408163,0.9030612244897959,0.9030612244897959,0.8979591836734694,0.8469387755102041,0.8512820512820513,0.9179487179487179,0.8769230769230769,0.8880847723704866,0.022038925979535304,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.7052656412124634,0.07068008820888207,0.11932709217071533,0.06221041315952819,70,,MinMaxScaler(),"{'randomforestclassifier__n_estimators': 70, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8826530612244898,0.8877551020408163,0.9081632653061225,0.8979591836734694,0.9132653061224489,0.9081632653061225,0.8418367346938775,0.8461538461538461,0.9076923076923077,0.8769230769230769,0.8870565149136578,0.024419288522090687,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,2.0939663648605347,0.292787800879821,0.1612470865249634,0.05013152062221573,188,,StandardScaler(),"{'randomforestclassifier__n_estimators': 188, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8826530612244898,0.8928571428571429,0.8979591836734694,0.9030612244897959,0.9081632653061225,0.9081632653061225,0.8469387755102041,0.8615384615384616,0.9128205128205128,0.882051282051282,0.8896206174777603,0.020500585882737943,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,2.266542148590088,0.16850170070116804,0.20039105415344238,0.07154827921134012,188,,MinMaxScaler(),"{'randomforestclassifier__n_estimators': 188, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8877551020408163,0.8724489795918368,0.8928571428571429,0.8928571428571429,0.9183673469387755,0.9081632653061225,0.8571428571428571,0.8512820512820513,0.9128205128205128,0.882051282051282,0.8875745682888541,0.021372452166230585,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,6.27080647945404,0.3695503822204095,0.36011853218078616,0.08318541994141326,499,,StandardScaler(),"{'randomforestclassifier__n_estimators': 499, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8877551020408163,0.8979591836734694,0.8877551020408163,0.8979591836734694,0.9183673469387755,0.9081632653061225,0.8571428571428571,0.8717948717948718,0.9179487179487179,0.8769230769230769,0.8921768707482993,0.01893978495496814,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,5.588633823394775,0.807180552391513,0.27818162441253663,0.1268483825098522,499,,MinMaxScaler(),"{'randomforestclassifier__n_estimators': 499, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8826530612244898,0.8979591836734694,0.9030612244897959,0.8979591836734694,0.9081632653061225,0.9081632653061225,0.8673469387755102,0.8717948717948718,0.9128205128205128,0.8717948717948718,0.8921716378859237,0.01631167980401577,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
