,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_randomoversampler,param_standardscaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.039013004302978514,0.011987139953424111,0.04989631175994873,0.019267118482802114,2,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 2, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8214285714285714,0.7908163265306123,0.7653061224489796,0.7908163265306123,0.7806122448979592,0.7857142857142857,0.8010204081632653,0.7897435897435897,0.764102564102564,0.8051282051282052,0.7894688644688644,0.016503353085335425,3,0.8955139125496877,0.9000567859170926,0.8983532084043158,0.8977853492333902,0.8926746166950597,0.8960817717206133,0.8983532084043158,0.8910329171396141,0.8989784335981839,0.8921679909194098,0.8960998194581682,0.0030024812803938878
1,0.02643282413482666,0.010501639979999174,0.0478557825088501,0.021643103424911818,2,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 2, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.826530612244898,0.7959183673469388,0.7908163265306123,0.7806122448979592,0.7755102040816326,0.7806122448979592,0.7959183673469388,0.7794871794871795,0.7743589743589744,0.7743589743589744,0.7874123495552068,0.01524553591928748,5,0.8955139125496877,0.902328222600795,0.9000567859170926,0.8977853492333902,0.8960817717206133,0.8955139125496877,0.9000567859170926,0.8972758229284904,0.8989784335981839,0.9040862656072645,0.8987677262622297,0.002755204918806071
2,0.03669135570526123,0.015493648185219686,0.05626456737518311,0.01703006444596406,4,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 4, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8418367346938775,0.7857142857142857,0.7755102040816326,0.826530612244898,0.8316326530612245,0.8010204081632653,0.8112244897959183,0.8,0.7692307692307693,0.7589743589743589,0.8001674515960231,0.02648630026962303,1,0.8659852356615559,0.8620102214650767,0.8699602498580352,0.8631459398069279,0.8671209540034072,0.8705281090289608,0.8676888131743328,0.8706015891032917,0.8711691259931895,0.8666288308740068,0.8674839068968785,0.0030104867671516622
3,0.020817279815673828,0.009713285714830176,0.047124814987182614,0.013168538093364221,4,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 4, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8367346938775511,0.8061224489795918,0.7857142857142857,0.7704081632653061,0.826530612244898,0.7908163265306123,0.7908163265306123,0.7948717948717948,0.7794871794871795,0.764102564102564,0.7945604395604395,0.021861028503085318,2,0.8637137989778535,0.8637137989778535,0.8625780806360023,0.8637137989778535,0.8654173764906303,0.8631459398069279,0.8659852356615559,0.8632236095346197,0.8637911464245176,0.8683314415437003,0.8643614227031515,0.0016446473004302616
4,0.024466753005981445,0.00817947468087358,0.05277748107910156,0.01633359760050279,10,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 10, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.8061224489795918,0.7857142857142857,0.8010204081632653,0.7857142857142857,0.8163265306122449,0.7755102040816326,0.8010204081632653,0.7897435897435897,0.7538461538461538,0.7692307692307693,0.7884249084249084,0.017766050199642884,4,0.8222600795002839,0.8256672345258376,0.8199886428165815,0.8285065303804656,0.8222600795002839,0.8199886428165815,0.8228279386712095,0.818955732122588,0.8269012485811578,0.825766174801362,0.8233122303716351,0.0030813928498319974
5,0.02136814594268799,0.0086438702203659,0.05305650234222412,0.01508910841471399,10,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 10, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.8061224489795918,0.7755102040816326,0.7806122448979592,0.7448979591836735,0.7959183673469388,0.7755102040816326,0.8010204081632653,0.7846153846153846,0.7589743589743589,0.7333333333333333,0.775651491365777,0.022588804366638703,6,0.814877910278251,0.8165814877910278,0.8097671777399205,0.8114707552526973,0.8165814877910278,0.8131743327654741,0.8194207836456558,0.8183881952326901,0.8178206583427923,0.8138479001135074,0.8151930688953044,0.0029685359680837174
6,0.035571861267089847,0.014840704730610683,0.0692753553390503,0.029924178458066428,24,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 24, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.7704081632653061,0.8010204081632653,0.7908163265306123,0.75,0.7959183673469388,0.7448979591836735,0.7602040816326531,0.7589743589743589,0.7230769230769231,0.7384615384615385,0.763377812663527,0.024643593120334078,7,0.7808063600227144,0.7825099375354913,0.7762634866553095,0.7893242475865985,0.7802385008517888,0.7876206700738216,0.78137421919364,0.7837684449489217,0.7900113507377979,0.782633371169126,0.783455058877521,0.004121428727314475
7,0.022043728828430177,0.012762545566769918,0.05889661312103271,0.0203366777080739,24,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 24, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.7908163265306123,0.7704081632653061,0.7346938775510204,0.7448979591836735,0.8010204081632653,0.7244897959183674,0.7806122448979592,0.717948717948718,0.7333333333333333,0.7025641025641025,0.7500784929356359,0.03176303064319443,8,0.7649063032367973,0.7745599091425327,0.7802385008517888,0.7756956274843839,0.778534923339012,0.7796706416808632,0.7739920499716071,0.7775255391600454,0.7769580022701476,0.779228149829739,0.7761309646966916,0.0042500268650315694
8,0.031698179244995114,0.01054289574201467,0.05629498958587646,0.019814006955163832,55,,StandardScaler(),"{'kneighborsclassifier__n_neighbors': 55, 'randomoversampler': None, 'standardscaler': StandardScaler()}",0.6887755102040817,0.6938775510204082,0.673469387755102,0.6989795918367347,0.75,0.6173469387755102,0.6836734693877551,0.6307692307692307,0.6717948717948717,0.6256410256410256,0.673432757718472,0.03811295634272323,9,0.6791595684270301,0.6848381601362862,0.696763202725724,0.704145371947757,0.7024417944349801,0.6871095968199886,0.7013060760931289,0.695800227014756,0.7111237230419978,0.7020431328036323,0.696473085344528,0.009417298230244463
9,0.014910602569580078,0.005806076721653025,0.0614349365234375,0.03029425927495356,55,,MinMaxScaler(),"{'kneighborsclassifier__n_neighbors': 55, 'randomoversampler': None, 'standardscaler': MinMaxScaler()}",0.7091836734693877,0.6836734693877551,0.6989795918367347,0.6989795918367347,0.6989795918367347,0.6428571428571429,0.6683673469387755,0.6358974358974359,0.6666666666666666,0.6102564102564103,0.6713840920983779,0.031153506875123423,10,0.6797274275979557,0.6831345826235093,0.7035775127768313,0.7035775127768313,0.6876774559909142,0.6888131743327655,0.7007382169222033,0.6906923950056754,0.7133938706015891,0.6804767309875142,0.6931808879615791,0.010866159567373898
